 RelativeAge(my)	Distance(km)	Depth(m)
    29.07000    	   -1340.180    	       -4548
    23.62000    	   -1124.480    	       -4368
    21.46000    	   -948.0171    	       -4289
    18.24000    	   -798.5119    	       -4158
    17.74000    	   -763.1965    	       -4137
    14.75000    	   -672.7041    	       -4001
    12.50000    	   -596.0049    	       -3890
    11.10000    	   -534.6973    	       -3815
    7.730000    	   -412.2958    	       -3615
    6.150000    	   -334.7486    	       -3505
    3.350000    	   -167.8002    	       -3267
    1.000000    	   -51.86739    	       -2964
   0.0000000E+00	  -0.0000000E+00	       -2600
   0.0000000E+00	  0.0000000E+00	       -2600
    1.000000    	   51.86739    	       -2964
    3.350000    	   167.8002    	       -3267
    6.150000    	   334.7486    	       -3505
    7.730000    	   412.2958    	       -3615
    11.10000    	   534.6973    	       -3815
    12.50000    	   596.0049    	       -3890
    14.75000    	   672.7041    	       -4001
    17.74000    	   763.1965    	       -4137
    18.24000    	   798.5119    	       -4158
    21.46000    	   948.0171    	       -4289
    23.62000    	   1124.480    	       -4368
    29.07000    	   1340.180    	       -4548
