 Relative Age	           Distance (km)	    Depth(m)
    23.07000    	   -1011.783    	       -4348
    17.62000    	   -800.8595    	       -4132
    15.46000    	   -624.1318    	       -4035
    12.24000    	   -473.7878    	       -3876
    11.74000    	   -439.7610    	       -3850
    8.750000    	   -349.9976    	       -3679
    6.500000    	   -275.3484    	       -3530
    5.100000    	   -214.6773    	       -3424
    1.730000    	   -87.93215    	       -3080
   0.1500000    	   -8.798646    	       -2740
   0.0000000E+00	  -0.0000000E+00	       -2600
   0.0000000E+00	  0.0000000E+00	       -2600
   0.1500000    	   8.798646    	       -2740
    1.730000    	   87.93215    	       -3080
    5.100000    	   214.6773    	       -3424
    6.500000    	   275.3484    	       -3530
    8.750000    	   349.9976    	       -3679
    11.74000    	   439.7610    	       -3850
    12.24000    	   473.7878    	       -3876
    15.46000    	   624.1318    	       -4035
    17.62000    	   800.8595    	       -4132
    23.07000    	   1011.783    	       -4348
