	RelativeAge	Distance(km)	       Depth(m)
    18.07000    	   -808.5311    	       -4151
    12.62000    	   -595.0162    	       -3896
    10.46000    	   -413.7378    	       -3780
    7.240000    	   -260.2112    	       -3581
    6.740000    	   -226.8546    	       -3547
    3.750000    	   -136.7713    	       -3306
    1.500000    	  -64.46950    	       -3046
   0.1000000    	   -3.110791    	       -2714
   0.0000000E+00	  -0.0000000E+00	       -2600
   0.0000000E+00	  0.0000000E+00	       -2600
   0.1000000    	   3.110791    	       -2714
    1.500000    	   64.46950    	       -3046
    3.750000    	   136.7713    	       -3306
    6.740000    	   226.8546    	       -3547
    7.240000    	   260.2112    	       -3581
    10.46000    	   413.7378    	       -3780
    12.62000    	   595.0162    	       -3896
    18.07000    	   808.5311    	       -4151
