 9050001 402 137 250   0 BS 000 2
  68.08 130.65  3
  68.09 130.70  2
  68.11 130.74  2
  68.25 131.00  2
  68.39 131.21  2
  68.52 131.42  2
  68.68 131.64  2
  68.86 131.86  2
  69.03 132.06  2
  69.21 132.27  2
  69.46 132.52  2
  69.69 132.71  2
  69.89 132.89  2
  70.09 133.07  2
  70.28 133.21  2
  70.53 133.51  2
  70.70 133.72  2
  70.91 133.94  2
  71.15 134.21  2
  71.34 134.33  2
  71.60 134.55  2
  71.80 134.66  2
  72.02 134.78  2
  72.22 134.84  2
  72.51 134.90  2
  72.81 134.93  2
  73.05 134.90  2
  73.37 134.91  2
  73.70 134.85  2
  73.96 134.80  2
  74.25 134.86  2
  74.53 134.91  2
  74.83 134.96  2
  75.16 135.08  2
  75.42 135.16  2
  75.67 135.23  2
  75.97 135.35  2
  76.33 135.40  2
  76.63 135.51  2
  76.82 135.62  2
  76.93 135.71  2
  76.93 135.71  2
  76.94 135.57  2
  76.96 135.14  2
  76.98 134.39  2
  76.96 133.58  2
  76.96 133.09  2
  76.95 133.10  2
  77.11 133.05  2
  77.23 133.07  2
  77.45 133.20  2
  77.73 133.34  2
  78.03 133.61  2
  78.26 133.89  2
  78.48 134.12  2
  78.84 134.42  2
  79.11 134.63  2
  79.20 134.71  2
  79.41 134.81  2
  79.67 134.94  2
  79.87 134.97  2
  80.12 135.04  2
  80.34 135.13  2
  80.58 135.38  2
  80.77 135.58  2
  81.02 136.10  2
  81.29 136.69  2
  81.51 136.64  2
  81.82 136.17  2
  82.06 135.85  2
  82.32 135.59  2
  82.58 135.38  2
  82.82 135.49  2
  83.07 135.96  2
  83.28 136.33  2
  83.46 136.61  2
  83.73 137.15  2
  84.03 137.67  2
  84.32 137.97  2
  84.33 137.90  2
  84.44 138.16  2
  84.77 138.25  2
  84.94 138.28  2
  85.16 138.21  2
  85.42 137.62  2
  85.66 137.32  2
  85.94 137.16  2
  86.20 136.74  2
  86.43 136.06  2
  86.72 135.56  2
  87.04 134.96  2
  87.30 134.24  2
  87.57 133.81  2
  87.82 133.08  2
  88.04 132.43  2
  88.34 131.46  2
  88.60 131.48  2
  88.88 132.63  2
  89.01 135.26  2
  89.12 143.16  2
  89.21 151.83  2
  89.29 165.45  2
  89.30 177.13  2
  89.32-173.23  2
  89.41-158.88  2
  89.49-138.65  2
  89.48-118.65  2
  89.43-104.09  2
  89.38 -92.20  2
  89.30 -79.84  2
  89.18 -69.81  2
  89.06 -61.98  2
  88.88 -55.10  2
  88.60 -53.63  2
  88.40 -53.39  2
  88.37 -53.39  2
  88.25 -53.71  2
  88.12 -52.65  2
  87.99 -51.92  2
  87.82 -50.67  2
  87.61 -49.54  2
  87.26 -48.26  2
  87.01 -47.33  2
  86.70 -46.53  2
  86.49 -46.70  2
  86.35 -46.89  2
  86.19 -47.34  2
  85.99 -48.23  2
  85.71 -48.91  2
  85.54 -49.32  2
  85.33 -50.36  2
  85.13 -51.11  2
  85.05 -51.42  2
  85.02 -51.43  2
  84.90 -51.41  2
  84.78 -51.36  2
