 93X5012 304 154 200   0 BA 100 5
  54.89 -17.72  3
  54.88 -17.71  2
  54.87 -17.66  2
  54.84 -17.60  2
  54.84 -17.51  2
  54.89 -17.41  2
  54.97 -17.25  2
  55.02 -17.13  2
  55.13 -16.94  2
  55.20 -16.78  2
  55.24 -16.66  2
  55.28 -16.45  2
  55.32 -16.26  2
  55.38 -16.02  2
  55.43 -15.78  2
  55.47 -15.62  2
  55.53 -15.34  2
  55.57 -15.22  2
  55.65 -15.02  2
  55.71 -14.85  2
  55.74 -14.79  2
  55.81 -14.73  2
  55.90 -14.71  2
  56.01 -14.53  2
  56.05 -14.45  2
  56.14 -14.36  2
  56.24 -14.17  2
  56.33 -14.09  2
  56.37 -14.01  2
  56.44 -13.87  2
  56.52 -13.76  2
  56.61 -13.59  2
  56.68 -13.51  2
  56.78 -13.42  2
  56.85 -13.36  2
  56.95 -13.26  2
  57.05 -13.14  2
  57.14 -13.03  2
  57.20 -12.97  2
  57.26 -12.90  2
  57.36 -12.89  2
  57.47 -12.85  2
  57.56 -12.80  2
  57.57 -12.80  2
  57.67 -12.81  2
  57.72 -12.84  2
  57.81 -12.91  2
  57.91 -12.97  2
  57.98 -13.10  2
  58.02 -13.14  2
  58.10 -13.24  2
  58.17 -13.37  2
  58.31 -13.56  2
  58.35 -13.74  2
  58.41 -13.97  2
  58.44 -14.20  2
  58.45 -14.36  2
  58.46 -14.53  2
  58.44 -14.70  2
  58.43 -14.87  2
  58.44 -15.14  2
  58.44 -15.22  2
  58.36 -15.29  2
  58.31 -15.41  2
  58.20 -15.59  2
  58.11 -15.63  2
  58.04 -15.65  2
  57.95 -15.61  2
  57.87 -15.59  2
  57.77 -15.57  2
  57.71 -15.51  2
  57.62 -15.39  2
  57.55 -15.33  2
  57.44 -15.35  2
  57.35 -15.40  2
  57.25 -15.51  2
  57.17 -15.59  2
  57.08 -15.70  2
  56.99 -15.81  2
  56.93 -15.87  2
  56.85 -15.99  2
  56.81 -16.07  2
  56.81 -16.21  2
  56.81 -16.30  2
  56.82 -16.39  2
  56.78 -16.48  2
  56.84 -16.58  2
  56.92 -16.51  2
  57.01 -16.41  2
  57.11 -16.37  2
  57.14 -16.41  2
  57.20 -16.36  2
  57.19 -16.49  2
  57.16 -16.58  2
  57.12 -16.63  2
  57.05 -16.68  2
  56.99 -16.87  2
  56.96 -17.01  2
  56.91 -17.18  2
  56.87 -17.28  2
  56.81 -17.44  2
  56.75 -17.50  2
  56.68 -17.53  2
  56.59 -17.51  2
  56.48 -17.56  2
  56.40 -17.58  2
  56.30 -17.57  2
  56.18 -17.60  2
  56.09 -17.64  2
  56.01 -17.65  2
  55.93 -17.65  2
  55.86 -17.62  2
  55.76 -17.68  2
  55.67 -17.74  2
  55.62 -17.75  2
  55.56 -17.78  2
  55.47 -17.92  2
  55.43 -18.02  2
  55.34 -18.09  2
  55.23 -18.15  2
  55.14 -18.22  2
  55.06 -18.27  2
  54.99 -18.28  2
  54.93 -18.27  2
  54.88 -18.35  2
  54.84 -18.46  2
  54.76 -18.53  2
  54.76 -18.40  2
  54.79 -18.26  2
  54.80 -18.16  2
  54.81 -18.11  3
  54.74 -18.10  2
  54.83 -18.02  3
  54.79 -18.07  2
  54.77 -18.03  2
  54.79 -18.00  2
  54.81 -17.98  2
  54.83 -18.00  2
  54.83 -18.04  2
  54.86 -17.92  3
  54.84 -17.95  2
  54.82 -17.94  2
  54.81 -17.91  2
  54.83 -17.89  2
  54.85 -17.90  2
  54.85 -17.94  2
  54.90 -17.81  3
  54.88 -17.86  2
  54.85 -17.85  2
  54.84 -17.81  2
  54.85 -17.80  2
  54.89 -17.77  2
  54.90 -17.81  2
  54.89 -17.81  3
  99.00   0.00  3
 93X5012 304 137 200   0 BA 200 6
  58.22 -10.66  3
  58.21 -10.72  2
  58.17 -10.77  2
  58.11 -10.81  2
  58.06 -10.91  2
  58.01 -11.01  2
  57.97 -11.06  2
  57.94 -11.08  2
  57.89 -10.97  2
  57.82 -10.92  2
  57.79 -10.93  2
  57.79 -11.01  2
  57.75 -11.08  2
  57.73 -11.18  2
  57.75 -11.29  2
  57.67 -11.39  2
  57.62 -11.41  2
  57.55 -11.51  2
  57.48 -11.50  2
  57.42 -11.50  2
  57.38 -11.57  2
  57.33 -11.62  2
