 8XX 500 802 200 600.00   0.00 CS 000   7
 -27.1700-109.5000  3
 -27.1600-109.4000  2
 -27.1200-109.3800  2
 -27.0800-109.4100  2
 -27.0700-109.4500  2
 -27.0500-109.4900  2
 -27.1300-109.5300  2
 -27.1700-109.5400  2
 -46.8800  37.6100  3
 -46.8700  37.6500  2
 -46.8600  37.7000  2
 -46.8700  37.7100  2
 -46.9100  37.8100  2
 -46.9900  37.8200  2
 -47.0200  37.8000  2
 -47.0200  37.6700  2
 -46.9300  37.6000  2
 -46.8800  37.6100  2
 -49.1600  70.0300  3
 -49.1800  70.0000  2
 -49.2600  70.0000  2
 -49.2700  69.9700  2
 -49.2900  69.9200  2
 -49.3100  69.8300  2
 -49.3100  69.7500  2
 -49.2900  69.6400  2
 -49.2200  69.6400  2
 -49.1600  69.5800  2
 -49.1100  69.4700  2
 -49.1300  69.6900  2
 -49.1100  69.7500  2
 -49.0500  69.8000  2
 -49.0200  69.7500  2
 -48.9800  69.7800  2
 -48.9400  69.6600  2
 -49.0000  69.5800  2
 -49.0500  69.3900  2
 -49.0500  69.1900  2
 -49.0400  69.1100  2
 -48.9400  69.1900  2
 -48.9100  69.1300  2
 -48.8500  69.2700  2
 -48.7400  69.2700  2
 -48.8000  69.1300  2
 -48.6700  69.1600  2
 -48.6500  69.0800  2
 -48.6300  68.9700  2
 -48.6900  68.9700  2
 -48.7400  68.9100  2
 -48.8100  68.8500  2
 -48.8900  68.9100  2
 -48.9400  68.9400  2
 -49.0400  68.9100  2
 -49.1100  68.9700  2
 -49.1500  70.0000  2
 -49.2900  69.0500  2
 -49.2900  69.1600  2
 -49.2000  69.2500  2
 -49.3300  69.2500  2
 -49.3300  69.1600  2
 -49.4400  69.0800  2
 -49.5500  69.0200  2
 -49.6700  69.1900  2
 -49.6400  69.1100  2
 -49.6200  69.1900  2
 -49.5800  69.3000  2
 -49.5100  69.4100  2
 -49.5300  69.5800  2
 -49.6600  69.5800  2
 -49.6600  69.7800  2
 -49.5300  69.7800  2
 -49.5100  69.8300  2
 -49.5700  69.9200  2
 -49.6600  69.9700  2
 -49.6900  70.1700  2
 -49.6600  70.3600  2
 -49.6000  70.2500  2
 -49.5500  70.3600  2
 -49.5100  70.2500  2
 -49.5300  70.2000  2
 -49.5800  70.1400  2
 -49.5100  70.0000  2
 -49.3700  70.0000  2
 -49.3300  70.3100  2
 -49.4200  70.4200  2
 -49.3500  70.5000  2
 -49.2200  70.5900  2
 -49.1100  70.6400  2
 -49.0400  70.5600  2
 -49.0700  70.3400  2
 -49.1500  70.3100  2
 -49.1100  70.2500  2
 -49.1500  70.1400  2
 -49.1500  70.0600  2
 -54.4800   3.4100  3
 -77.1200 -31.9800  3
 -77.1300 -31.5700  2
 -76.9700 -31.2100  2
 -76.9100 -31.0100  2
 -76.8300 -30.7100  2
 -76.7200 -30.2400  2
 -76.6000 -29.8500  2
 -76.4800 -29.2800  2
 -76.3800 -28.7900  2
 -76.3100 -28.4200  2
 -76.2400 -27.9600  2
 -76.1900 -27.4500  2
 -76.1100 -27.0400  2
 -76.0200 -26.7900  2
 -75.9200 -26.6500  2
 -75.7900 -26.4900  2
 -75.6800 -26.8400  2
 -75.5600 -26.6800  2
 -75.4300 -26.1100  2
 -75.3500 -25.4500  2
 -75.2900 -25.0300  2
 -75.2600 -24.7600  2
 -75.2700 -24.8600  2
 -75.0900 -24.4300  2
 -74.8600 -24.0400  2
 -74.7500 -23.9800  2
 -74.5400 -23.6400  2
 -74.3600 -23.0200  2
 -74.2600 -22.6400  2
 -74.2100 -22.4400  2
 -74.2000 -22.3100  2
 -74.2200 -21.9800  2
 -74.2200 -21.5600  2
 -74.1300 -21.2300  2
 -74.0400 -21.0600  2
 -73.9100 -20.7200  2
 -73.7600 -20.4400  2
 -73.5900 -20.2400  2
 -73.4800 -20.1000  2
 -73.3200 -19.7700  2
 -73.1600 -19.5600  2
 -73.0700 -19.4500  2
 -73.0000 -19.2400  2
 -72.9100 -18.9700  2
 -72.8700 -18.9600  2
 -72.7600 -18.9300  2
 -72.6300 -18.7400  2
 -72.6300 -18.5000  2
 -72.6900 -17.9800  2
 -72.6900 -17.5000  2
 -72.6100 -17.1000  2
 -72.5700 -16.8300  2
 -72.5300 -16.5500  2
 -72.4900 -16.4200  2
 -72.4300 -16.2600  2
 -72.2900 -15.9100  2
 -72.2100 -15.5300  2
 -72.1400 -15.1300  2
 -72.0600 -14.5900  2
 -72.0200 -14.1400  2
 -72.0100 -13.7800  2
 -72.0600 -13.5200  2
 -72.1000 -13.3200  2
 -72.0800 -12.9800  2
 -72.0300 -12.9300  2
 -71.9900 -13.0500  2
 -71.8900 -12.9600  2
 -71.8300 -12.7800  2
 -71.7700 -12.5000  2
 -71.6500 -12.3000  2
 -71.5300 -12.3100  2
 -71.4100 -12.1400  2
 -71.3500 -11.8500  2
 -71.2400 -11.5800  2
 -71.1400 -11.3700  2
 -71.0600 -11.0100  2
 -71.0300 -10.6700  2
 -70.9900 -10.3800  2
 -70.9100 -10.1500  2
 -70.7800  -9.8900  2
 -70.6600  -9.6500  2
 -70.6300  -9.5400  2
 -70.5800  -9.2800  2
 -70.5800  -9.0300  2
 -70.5700  -8.7000  2
 -70.6000  -8.3700  2
 -70.7100  -8.3000  2
 -70.7200  -7.8400  2
 -70.6200  -7.5800  2
 -70.5200  -7.3700  2
 -70.5000  -7.0200  2
 -70.4800  -6.7600  2
 -70.4900  -6.5000  2
 -70.5200  -6.2700  2
 -70.5100  -6.0200  2
 -70.4700  -5.5700  2
 -70.4600  -5.1900  2
 -70.4700  -4.8700  2
 -70.4500  -4.5500  2
 -70.4100  -4.3100  2
 -70.3500  -3.9800  2
 -70.3600  -3.6800  2
 -70.3600  -3.3700  2
 -70.3300  -3.0500  2
 -70.3200  -2.8100  2
 -70.2700  -2.6000  2
 -70.1500  -2.2200  2
 -70.1200  -1.8200  2
 -70.0500  -1.5100  2
 -69.9800  -1.4200  2
 -69.9400  -1.4100  2
 -69.8800  -1.4600  2
 -69.7400  -1.0700  2
 -69.7000  -0.9100  2
 -69.6600  -0.8800  2
 -69.6400  -0.9900  2
 -69.4900  -0.9900  2
 -69.3700  -0.9600  2
 -69.2700  -1.1200  2
 -69.1500  -1.2300  2
 -69.1100  -1.0200  2
 -69.1400  -0.7800  2
 -69.0800  -0.4200  2
 -69.0700  -0.3300  2
 -69.1200  -0.2100  2
 -69.1200  -0.1400  2
 -69.1300  -0.1500  2
 -69.0900   0.0200  2
 -69.2000  -0.0500  2
 -69.3800   0.0400  2
 -69.5200   0.2000  2
 -69.6500   0.3600  2
 -69.8500   0.6700  2
 -69.9800   1.0100  2
 -70.0600   1.3400  2
 -69.9300   1.7800  2
 -70.0200   2.2100  2
 -70.0800   2.4600  2
 -70.1100   2.8200  2
 -70.1000   3.2200  2
 -70.1100   3.6300  2
 -70.0700   4.0600  2
 -70.0300   4.6800  2
 -70.0400   5.0800  2
 -70.1300   5.1200  2
 -70.1400   5.4500  2
 -70.2100   5.6200  2
 -70.2900   5.5700  2
 -70.2600   5.7800  2
 -70.1800   5.8500  2
 -70.1600   5.9700  2
 -70.2200   6.0200  2
 -70.2500   6.2800  2
 -70.2000   6.4000  2
 -70.1300   6.2600  2
 -70.0400   6.4900  2
 -70.0100   6.8200  2
 -69.9900   7.1700  2
 -70.0000   7.5500  2
 -69.9900   7.9100  2
 -69.9900   8.2400  2
 -70.0100   8.8300  2
 -70.0800   8.9400  2
 -70.1100   9.1900  2
 -70.0400   9.2400  2
 -69.9900   9.1000  2
 -69.9600   9.3000  2
 -69.9800   9.8700  2
 -69.9600  10.0500  2
 -70.0300  10.0800  2
 -70.0000  10.5300  2
 -70.0200  10.7700  2
 -70.0400  11.0100  2
 -70.0600  11.4200  2
 -70.0400  11.9300  2
 -70.0900  12.3300  2
 -70.1000  12.6000  2
 -69.9800  12.8600  2
 -69.9300  12.6700  2
 -69.8400  12.8900  2
 -69.7800  13.3100  2
 -69.6500  13.5000  2
 -69.5500  13.4800  2
 -69.4700  13.9500  2
 -69.4200  14.2900  2
 -69.3800  14.5700  2
 -69.3700  14.7200  2
 -69.3900  14.7600  2
 -69.3700  14.8400  2
 -69.4600  15.0900  2
 -69.6400  15.2800  2
 -69.7100  15.3000  2
 -69.8400  15.3300  2
 -69.8500  15.6200  2
 -69.7900  16.3500  2
 -69.8100  16.9800  2
 -69.8100  17.5600  2
 -69.8600  17.8200  2
 -69.9000  17.9800  2
 -69.9900  18.3700  2
 -70.0200  18.7600  2
 -70.0400  19.1500  2
 -69.9900  19.5300  2
 -69.9900  20.0400  2
 -70.0600  20.5500  2
 -70.1000  21.0800  2
 -70.1600  21.4200  2
 -70.1600  21.3300  2
 -70.1700  20.9300  2
 -70.2400  21.0200  2
 -70.2400  21.7900  2
 -70.2100  22.4600  2
 -70.2300  23.0000  2
 -70.3900  23.3300  2
 -70.4400  23.9300  2
 -70.3400  24.3800  2
 -70.2600  24.5200  2
 -70.2300  24.6400  2
 -70.2200  24.7900  2
 -70.2400  24.8700  2
 -70.2500  24.8900  2
 -70.2000  25.2800  2
 -70.2800  25.5700  2
 -70.1900  25.7300  2
 -70.1300  26.0900  2
 -70.0800  26.2800  2
 -70.0100  26.1500  2
 -70.0200  26.6200  2
 -70.0200  27.0800  2
 -70.0500  27.5100  2
 -69.9600  27.6300  2
 -69.9100  27.9900  2
 -69.8500  28.5800  2
 -69.8100  28.8900  2
 -69.7600  29.0000  2
 -69.6300  29.0800  2
 -69.4900  29.4000  2
 -69.3500  29.8600  2
 -69.3400  30.2600  2
 -69.2400  30.3700  2
 -69.1300  30.6600  2
 -69.1600  30.9100  2
 -69.2300  31.2200  2
 -69.2100  31.5900  2
 -69.3300  31.9100  2
 -69.4400  32.1500  2
 -69.5500  32.3700  2
 -69.6000  32.9000  2
 -69.5300  33.0600  2
 -69.3400  33.0100  2
 -69.3000  33.1900  2
 -69.2000  32.9700  2
 -69.0400  32.8000  2
 -68.7700  33.1900  2
 -68.7200  33.6800  2
 -68.7700  33.9600  2
 -68.9200  34.2800  2
 -69.0600  34.5400  2
 -69.2300  35.1000  2
 -69.4100  35.5200  2
 -69.4700  35.5900  2
 -69.5900  35.8100  2
 -69.6700  36.3100  2
 -69.7400  36.5600  2
 -69.7600  36.6100  2
 -69.7300  36.8200  2
 -69.6900  37.2700  2
 -69.8100  37.5800  2
 -70.0200  37.9600  2
 -70.1300  38.1500  2
 -69.9400  38.5300  2
 -69.8400  38.6300  2
 -69.7500  38.8600  2
 -69.6700  39.4800  2
 -69.6000  39.3400  2
 -69.5500  39.2200  2
 -69.5600  39.3500  2
 -69.4200  39.3600  2
 -69.3300  39.3100  2
 -69.2200  39.4200  2
 -69.1300  39.3700  2
 -69.0000  39.5100  2
 -68.9900  39.7000  2
 -68.9900  39.7200  2
 -68.9700  39.9400  2
 -68.8200  40.2800  2
 -68.7700  40.6000  2
 -68.6900  41.0300  2
 -68.5800  41.4000  2
 -68.4900  41.8600  2
 -68.4500  42.1900  2
 -68.3200  42.3800  2
 -68.2100  42.6100  2
 -68.1000  42.8100  2
 -67.9800  43.3100  2
 -67.9000  43.9200  2
 -67.7600  44.2700  2
 -67.6900  44.8100  2
 -67.6900  45.0200  2
 -67.7500  45.1300  2
 -67.7000  45.6200  2
 -67.4800  45.7900  2
 -67.3400  46.2500  2
 -67.4400  46.6900  2
 -67.5000  46.9200  2
 -67.5700  47.1900  2
 -67.5900  47.0200  2
 -67.6400  46.9400  2
 -67.7100  47.0700  2
 -67.8200  47.1300  2
 -67.8500  47.3300  2
 -67.8500  47.4700  2
 -67.8200  47.7800  2
 -67.7400  48.0700  2
 -67.6400  48.3800  2
 -67.4000  48.0900  2
 -67.5600  48.6900  2
 -67.5100  49.0400  2
 -67.4400  49.0000  2
 -67.4500  48.7400  2
 -67.4600  48.6200  2
 -67.3400  48.3700  2
 -67.2500  48.1700  2
 -67.1200  48.2500  2
 -67.0900  48.4200  2
 -67.1000  48.6500  2
 -67.0700  48.9700  2
 -67.1400  49.1700  2
 -67.2000  49.4900  2
 -67.3200  49.7600  2
 -67.3800  49.6600  2
 -67.3500  49.9900  2
 -67.3000  50.2700  2
 -67.2800  50.4800  2
 -67.2000  50.2500  2
 -67.1000  50.1000  2
