 9XX 100 704 131 200.00   0.00 SS 000   3
  31.6500   6.9100  3
  30.8900   6.4800  2
  30.3000   6.4600  2
  29.8600   6.3400  3
  29.3000   6.0900  2
  28.1000   5.8500  2
  27.1800   5.6000  2
  26.5700   5.3300  2
  25.7100   5.4900  2
  25.1000   5.6300  2
  26.9400   5.0900  3
  25.9200   4.9100  2
  24.7700   4.8600  2
  23.9000   4.8400  2
  22.1800   4.8200  2
  20.9100   4.8600  2
  19.6100   4.8800  2
  18.8300   4.4500  2
  17.5400   3.9900  2
  16.2400   3.7200  2
   6.7700   6.1800  3
   7.4400   7.2500  2
   8.2200   8.2800  2
   8.7500   9.0000  2
   8.8300   9.5500  2
   9.7400  10.2300  2
  11.2000  10.4400  2
  12.1600  11.8200  2
  13.2500  13.4100  2
  12.9800  14.6100  3
  12.3900  14.0100  2
  12.1400  13.0400  2
  11.5300  12.2600  2
  10.8900  12.0700  2
  10.3300  11.3100  2
   9.6600  10.9300  2
   9.6600  12.2400  2
   9.5700  13.2700  2
   8.9700  14.0900  2
   8.4600  15.0300  2
   8.2600  16.0600  2
   9.5100  13.4000  3
   9.3600  15.0100  2
   9.0900  15.9300  2
   9.2100  16.9400  2
   8.6600  17.6600  2
   9.7600  19.4800  2
   9.7300  20.2300  2
  10.2500  21.1000  2
  10.4300  22.6900  2
  11.2400  23.9300  2
  11.1900  25.1900  2
  11.4500  26.1800  2
  11.9000  26.7400  2
  12.4300  27.6400  3
  12.9100  28.2900  2
  13.3800  28.9400  3
  13.7900  29.5800  2
  14.2200  30.2200  3
  14.5900  30.6700  2
  15.0200  31.1300  3
  15.4500  31.5900  2
  15.9300  32.0700  3
  16.2500  32.4400  2
  16.5500  32.7700  3
  11.7900  26.7600  3
  11.6700  27.5100  2
  11.3000  27.8700  2
  11.1500  28.2800  2
  12.1000  28.0200  2
  12.2600  28.3200  3
  11.5900  28.6500  2
  10.2600  28.9000  2
   9.7400  29.1500  2
  11.0800  29.2900  3
   9.7400  29.9600  2
   8.7500  30.1500  2
   7.9000  31.2800  3
   6.5100  31.5700  2
   6.2800  32.5300  2
  13.8500  30.0800  3
  12.6400  31.1400  2
  12.5500  31.8600  2
  11.8800  32.3700  2
  11.6400  32.7500  2
  10.7200  33.0500  2
  10.5500  32.8900  2
  10.2900  33.0000  2
  10.7200  32.4500  2
  10.4700  32.1900  3
  10.0300  32.6200  2
   9.3900  32.7800  2
   9.2700  32.6000  2
   8.1900  32.8500  2
   7.6500  32.8100  2
   8.3500  32.3500  2
  14.0100  30.2600  3
  13.7300  30.4300  2
  13.6100  30.9100  2
  12.9700  31.3000  2
  12.9800  31.5000  2
  12.7400  31.7000  2
  12.7800  32.0600  2
  12.5800  32.4600  2
  12.0200  32.7300  2
  12.0200  32.8500  2
  11.1800  33.2400  2
  10.4800  33.4900  2
   9.6400  33.8100  2
   8.7800  33.9500  2
   8.2500  34.0100  2
   7.9400  33.4600  3
   7.0000  33.3300  2
   6.1000  34.0100  2
   5.5200  35.1000  2
   4.7700  35.8800  2
  15.1600  31.3600  3
  14.3400  32.0800  2
  13.7500  32.6900  2
  13.6700  33.3600  2
  16.1700  32.4200  3
  15.8400  32.6800  2
  15.9100  32.9500  2
  15.7100  33.2200  2
  15.5100  33.2200  2
  15.3400  33.4200  2
  14.7200  33.5100  2
  14.0600  33.8700  2
  13.0700  34.7400  2
  12.7000  35.1400  2
  13.1700  35.1100  3
  99.0000   0.0000  3
 9XX 101 704 164 200.00   0.00 GR 000   7
  31.0600   9.9800  3
  30.0400   9.9900  2
  29.0700  10.0100  2
  30.0400   8.9900  3
  30.0500   9.9900  2
  30.0400  10.9900  2
  30.0300  14.0200  3
  30.0400  15.0000  2
  30.0600  15.9800  2
  31.0400  14.9800  3
  30.1000  14.9400  2
  29.0900  14.9900  2
  30.0900  18.9600  3
  30.0500  19.9700  2
  30.0600  21.0100  2
  31.1000  19.9300  3
  30.1000  19.9700  2
  29.1100  20.0000  2
  30.0200  24.0000  3
  30.0800  25.0100  2
  30.0800  26.0000  2
  31.0300  25.0200  3
  30.0600  25.0100  2
  29.1800  25.0500  2
  30.0800  29.0400  3
  30.0700  29.9800  2
  30.0600  30.9500  2
  31.0300  30.0000  3
  30.0900  30.0300  2
  29.1100  30.0200  2
  25.0500  29.0700  3
  25.0700  30.0500  2
  25.0600  31.0200  2
  26.0200  30.0100  3
  25.0600  30.0300  2
  24.0200  30.0200  2
  25.9500  25.0500  3
  25.0300  25.0100  2
  24.0500  25.0100  2
  25.0100  24.0100  3
  25.0400  25.0200  2
  25.0300  26.0000  2
  25.0400  19.0100  3
  25.0400  19.9900  2
  25.0400  21.0000  2
  26.0300  20.0000  3
  25.0800  20.0000  2
  24.0700  19.9800  2
  25.0300  14.0100  3
  25.0100  15.0200  2
  25.0300  16.0400  2
  26.0200  14.9900  3
  25.0500  14.9800  2
  24.0400  14.9900  2
  25.0400   9.0000  3
  25.0000  10.0000  2
  25.0000  11.0200  2
  26.0400  10.0200  3
  25.0400   9.9900  2
  24.1100  10.0100  2
  26.0200   5.0100  3
  25.0300   4.9900  2
  24.0300   5.0400  2
  25.0500   5.0300  3
  25.0000   6.0300  2
  21.0600   5.0000  3
  20.0100   4.9900  2
  19.0300   5.0000  2
  20.0600   5.0000  3
  20.0500   6.0300  2
  20.0200   9.0100  3
  20.0200  10.0200  2
  20.0000  11.0100  2
  20.9900  10.0000  3
  20.0200  10.0200  2
  18.9900  10.0300  2
  20.0100  14.0200  3
  20.0400  14.9900  2
  20.0200  16.0200  2
  21.0200  15.0200  3
  20.0400  15.0000  2
  19.0000  15.0100  2
  20.0300  19.0000  3
  20.0100  19.9900  2
  20.0100  20.9800  2
  21.0200  20.0000  3
  20.0300  20.0000  2
  19.0700  20.0000  2
  20.0400  24.0500  3
