 5XX 500 502 200 600.00   0.00 CS 000   7
  12.6300  43.3900  3
  13.6800  42.7100  3
  13.6800  42.7000  2
  13.6800  42.6900  2
  13.6700  42.6800  2
  13.6700  42.6800  2
  13.6600  42.6700  2
  13.6500  42.6700  2
  13.6400  42.6600  2
  13.6400  42.6600  2
  13.6300  42.6500  2
  13.6200  42.6500  2
  13.6100  42.6500  2
  13.6000  42.6500  2
  13.6000  42.6600  2
  13.6100  42.6700  2
  13.6100  42.6800  2
  13.6200  42.6900  2
  13.6200  42.6900  2
  13.6300  42.7000  2
  13.6300  42.7100  2
  13.6400  42.7200  2
  13.6400  42.7300  2
  13.6400  42.7400  2
  13.6400  42.7500  2
  13.6500  42.7600  2
  13.6600  42.7600  2
  13.6700  42.7600  2
  13.6800  42.7600  2
  13.6900  42.7500  2
  13.7000  42.7500  2
  13.7000  42.7400  2
  13.7000  42.7300  2
  13.7000  42.7100  2
  13.6900  42.7100  2
  13.6800  42.7100  2
  13.9100  42.6500  3
  13.9100  42.6600  2
  13.9000  42.6700  2
  13.9000  42.6800  2
  13.9000  42.6900  2
  13.8900  42.7000  2
  13.8900  42.7100  2
  13.8800  42.7100  2
  13.8700  42.7100  2
  13.8600  42.7200  2
  13.8500  42.7200  2
  13.8400  42.7300  2
  13.8400  42.7400  2
  13.8500  42.7400  2
  13.8600  42.7500  2
  13.8700  42.7500  2
  13.8800  42.7600  2
  13.8900  42.7600  2
  13.9000  42.7600  2
  13.9100  42.7600  2
  13.9200  42.7500  2
  13.9300  42.7500  2
  13.9400  42.7500  2
  13.9500  42.7500  2
  13.9600  42.7400  2
  13.9700  42.7400  2
  13.9700  42.7300  2
  13.9800  42.7200  2
  13.9800  42.7100  2
  13.9800  42.7000  2
  13.9700  42.6900  2
  13.9700  42.6800  2
  13.9700  42.6600  2
  13.9700  42.6500  2
  13.9600  42.6500  2
  13.9500  42.6500  2
  13.9400  42.6400  2
  13.9200  42.6500  2
  13.9100  42.6500  2
  13.9100  42.6500  2
  14.7200  40.7400  3
  14.7100  40.7400  2
  14.7100  40.7500  2
  14.7000  40.7600  2
  14.7000  40.7700  2
  14.7000  40.7800  2
  14.6900  40.7900  2
  14.6900  40.8100  2
  14.6900  40.8200  2
  14.6900  40.8300  2
  14.6900  40.8400  2
  14.6800  40.8500  2
  14.6800  40.8600  2
  14.6700  40.8700  2
  14.6700  40.8700  2
  14.6600  40.8800  2
  14.6600  40.8900  2
  14.6500  40.9000  2
  14.6400  40.9000  2
  14.6400  40.9100  2
  14.6300  40.9200  2
  14.6300  40.9300  2
  14.6300  40.9400  2
  14.6200  40.9500  2
  14.6200  40.9700  2
  14.6200  40.9800  2
  14.6200  40.9900  2
  14.6200  41.0100  2
  14.6200  41.0200  2
  14.6200  41.0300  2
  14.6200  41.0500  2
  14.6300  41.0600  2
  14.6300  41.0700  2
  14.6300  41.0800  2
  14.6300  41.1000  2
  14.6300  41.1100  2
  14.6300  41.1200  2
  14.6300  41.1300  2
  14.6200  41.1400  2
  14.6200  41.1500  2
  14.6100  41.1600  2
  14.6100  41.1600  2
  14.6000  41.1700  2
  14.6000  41.1800  2
  14.5900  41.1900  2
  14.5900  41.2000  2
  14.5800  41.2100  2
  14.5800  41.2200  2
  14.5700  41.2200  2
  14.5700  41.2300  2
  14.5600  41.2400  2
  14.5600  41.2500  2
  14.5500  41.2600  2
  14.5500  41.2600  2
  14.5400  41.2700  2
  14.5300  41.2800  2
  14.5200  41.2800  2
  14.5100  41.2900  2
  14.5100  41.2900  2
  14.5000  41.2900  2
  14.4900  41.3000  2
  14.4800  41.3100  2
  14.4700  41.3100  2
  14.4700  41.3200  2
  14.4600  41.3200  2
  14.4500  41.3300  2
  14.4400  41.3300  2
  14.4300  41.3400  2
  14.4300  41.3400  2
  14.4200  41.3500  2
  14.4100  41.3600  2
  14.4000  41.3600  2
  14.3900  41.3600  2
  14.3900  41.3700  2
  14.3800  41.3800  2
  14.3700  41.3800  2
  14.3700  41.3900  2
  14.3600  41.4000  2
  14.3500  41.4000  2
  14.3400  41.4100  2
  14.3400  41.4100  2
  14.3300  41.4200  2
  14.3200  41.4200  2
  14.3100  41.4300  2
  14.3100  41.4400  2
  14.3000  41.4400  2
  14.2900  41.4500  2
  14.2800  41.4500  2
  14.2700  41.4600  2
  14.2700  41.4600  2
  14.2600  41.4700  2
  14.2500  41.4700  2
  14.2400  41.4800  2
  14.2400  41.4800  2
  14.2300  41.4900  2
  14.2200  41.5000  2
  14.2100  41.5000  2
  14.2100  41.5100  2
  14.2000  41.5100  2
  14.1900  41.5200  2
  14.1800  41.5200  2
  14.1700  41.5300  2
  14.1600  41.5300  2
  14.1500  41.5300  2
  14.1500  41.5400  2
  14.1400  41.5500  2
  14.1300  41.5500  2
  14.1300  41.5600  2
  14.1200  41.5700  2
  14.1100  41.5700  2
  14.1000  41.5800  2
  14.1000  41.5800  2
  14.0900  41.5900  2
  14.0900  41.6000  2
  14.0800  41.6100  2
  14.0700  41.6100  2
  14.0700  41.6200  2
  14.0600  41.6200  2
  14.0500  41.6300  2
  14.0400  41.6400  2
