 9XX 500 907 200 600.00   0.00 CS 000   7
 -11.3300  43.3500  3
 -11.3300  43.3700  2
 -11.3400  43.3700  2
 -11.3500  43.3800  2
 -11.3600  43.3900  2
 -11.3700  43.4000  2
 -11.3900  43.4000  2
 -11.4000  43.4000  2
 -11.4200  43.4100  2
 -11.4400  43.4000  2
 -11.4500  43.4000  2
 -11.4700  43.4000  2
 -11.4900  43.4000  2
 -11.5000  43.4000  2
 -11.5200  43.4000  2
 -11.5400  43.4000  2
 -11.5500  43.3900  2
 -11.5700  43.3900  2
 -11.5900  43.3900  2
 -11.6000  43.4000  2
 -11.6100  43.4000  2
 -11.6300  43.4100  2
 -11.6400  43.4100  2
 -11.6500  43.4200  2
 -11.6600  43.4300  2
 -11.6700  43.4400  2
 -11.6800  43.4400  2
 -11.7000  43.4500  2
 -11.7100  43.4500  2
 -11.7200  43.4600  2
 -11.7300  43.4600  2
 -11.7500  43.4700  2
 -11.7600  43.4700  2
 -11.7700  43.4800  2
 -11.7800  43.4800  2
 -11.8000  43.4900  2
 -11.8100  43.4900  2
 -11.8300  43.4900  2
 -11.8500  43.4900  2
 -11.8700  43.4900  2
 -11.8700  43.4800  2
 -11.8800  43.4700  2
 -11.8900  43.4600  2
 -11.9000  43.4500  2
 -11.9100  43.4400  2
 -11.9000  43.4200  2
 -11.9000  43.4000  2
 -11.8900  43.3900  2
 -11.8900  43.3800  2
 -11.8800  43.3700  2
 -11.8700  43.3600  2
 -11.8600  43.3600  2
 -11.8500  43.3500  2
 -11.8300  43.3400  2
 -11.8200  43.3400  2
 -11.8100  43.3400  2
 -11.7900  43.3300  2
 -11.7800  43.3200  2
 -11.7800  43.3100  2
 -11.7800  43.2900  2
 -11.7700  43.2800  2
 -11.7600  43.2700  2
 -11.7500  43.2700  2
 -11.7400  43.2600  2
 -11.7300  43.2500  2
 -11.7100  43.2500  2
 -11.7000  43.2400  2
 -11.6900  43.2300  2
 -11.6800  43.2300  2
 -11.6600  43.2300  2
 -11.6500  43.2400  2
 -11.6400  43.2400  2
 -11.6300  43.2500  2
 -11.6100  43.2500  2
 -11.6000  43.2500  2
 -11.5800  43.2500  2
 -11.5700  43.2500  2
 -11.5500  43.2500  2
 -11.5400  43.2400  2
 -11.5200  43.2400  2
 -11.5000  43.2400  2
 -11.4900  43.2400  2
 -11.4700  43.2400  2
 -11.4500  43.2400  2
 -11.4400  43.2400  2
 -11.4200  43.2400  2
 -11.4100  43.2400  2
 -11.3900  43.2400  2
 -11.3800  43.2400  2
 -11.3700  43.2500  2
 -11.3600  43.2600  2
 -11.3600  43.2800  2
 -11.3600  43.2900  2
 -11.3500  43.3000  2
 -11.3400  43.3200  2
 -11.3400  43.3300  2
 -11.3300  43.3400  2
