pid	times	Rotlat	Rotlong	Rotang	
101	-10	0	0	0	0
101	0	0	28	0	0
101	30	0	28	4	0
101	40	0.00	62.9	4.16	0
101	50	0.00	54.09	4.68	0
101	60	0.00	76.27	8.35	0
101	70	0.00	-267.73	15.2	0
101	80	0.00	-259.28	20.41	0
101	90	0.00	-242	20	0
101	100	0.00	-264.35	18.39	0
101	110	0.00	-264.35	18.39	0
101	120	0.00	-244.72	22.77	0
101	130	0.00	-249.72	23.36	0
101	140	0.00	72.91	24.45	0
101	150	0.00	54.69	23.12	0
101	160	0.00	27.16	18.56	0
101	170	0.00	13.12	20.04	0
101	180	0.00	11.84	22.13	0
101	190	0.00	-3.8	24.79	0
101	200	0.00	-6.56	26.18	0
101	210	0.00	-7.71	30.76	0
101	220	0.00	-1.85	33.96	0
101	230	0.00	5.6	37.94	0
101	240	0.00	13.58	33.83	0
101	250	0.00	20.17	35.21	0
102	-10	0.00	0	0	0
102	0	0.00	87.95	0	0
102	50	0.00	87.95	26.43	0
102	60	0.00	-267.35	27.05	0
102	70	0.00	-247.92	26.77	0
102	80	0.00	-253.05	22.83	0
102	160	0.00	86.14	25.58	0
102	170	0.00	86.14	25.58	0
102	220	0.00	13	56	0
102	230	0.00	13	56	0
201	-10	0.00	0	0	0
201	0	0.00	-36	0	0
201	40	0.00	-36	31	0
201	50	0.00	-36	31	0
201	60	0.00	-252	13	0
201	70	0.00	78.69	6.14	0
201	80	0.00	-251.95	6.98	0
201	90	0.00	-231.79	5	0
201	100	0.00	-70.36	0.7	0
201	110	0.00	-183.49	3.25	0
201	120	0.00	-229.55	7.83	0
201	130	0.00	-244.87	9.35	0
201	140	0.00	-262	11	0
201	150	0.00	-7	5	0
201	160	0.00	-40	4.2	0
201	170	0.00	-73	5	0
201	190	0.00	-24	23	0
201	200	0.00	-15.74	19.23	0
201	210	0.00	-4	16	0
201	220	0.00	12.89	12.41	0
201	230	0.00	20.57	13.33	0
201	240	0.00	30.3	15.13	0
201	250	0.00	-51	12	0
301	-10	0.00	0	0	0
301	0	0.00	-265.55	0	0
301	40	0.00	-265.55	10.87	0
301	50	0.00	87.58	11.2	0
301	60	0.00	86.58	11.65	0
301	70	0.00	68.06	16.3	0
301	80	0.00	58.61	18.98	0
301	90	0.00	71.47	17.38	0
301	100	0.00	-241	19.85	0
301	110	0.00	-227	28	0
301	120	0.00	65	14	0
301	130	0.00	65	14	0
301	140	0.00	-258.14	19.21	0
301	150	0.00	-269.35	19.98	0
301	160	0.00	81.71	18.43	0
301	170	0.00	48.21	19.21	0
301	180	0.00	28.5	26.99	0
301	190	0.00	28	14.52	0
301	200	0.00	28	14.52	0
301	210	0.00	43.1	43.06	0
301	220	0.00	43.1	43.06	0
301	230	0.00	59.53	41.45	0
301	240	0.00	61.25	37.88	0
301	250	0.00	63.61	38.27	0
302	-10	0.00	0	0	0
302	0	0.00	48.38	0	0
302	30	0.00	48.38	21.88	0
302	40	0.00	40.41	20.84	0
302	50	0.00	23	20	0
302	60	0.00	-258.12	10.88	0
302	70	0.00	-249.36	12.09	0
302	80	0.00	-258.06	14.44	0
302	90	0.00	85.31	19	0
302	100	0.00	89	17	0
302	110	0.00	-249.51	16.89	0
302	120	0.00	-208.97	19.58	0
302	130	0.00	-15.71	18.49	0
302	140	0.00	2.43	19.96	0
302	150	0.00	-234.94	12.76	0
302	160	0.00	-223.04	22.03	0
302	170	0.00	-9	53	0
302	180	0.00	-95.93	29.76	0
302	190	0.00	-172.81	25.48	0
302	200	0.00	53	25	0
302	210	0.00	24	28	0
302	220	0.00	55.4	23.82	0
302	230	0.00	-257.44	35.64	0
302	240	0.00	-253.7	39.05	0
302	250	0.00	-269.74	36.51	0
501	-10	0.00	0	0	0
501	0	0.00	-137.01	0	0
501	50	0.00	-137.01	46.76	0
501	60	0.00	-161.72	51.58	0
501	70	0.00	-166.61	57.63	0
501	80	0.00	-160	86	0
501	90	0.00	-153	72	0
501	100	0.00	-153	72	0
501	110	0.00	-153	82	0
501	120	0.00	-153	82	0
501	170	0.00	-142	88	0
501	180	0.00	-142	88	0
501	210	0.00	-140	80	0
501	220	0.00	-140	80	0
501	230	0.00	-146	97	0
501	240	0.00	-145.32	96.34	0
501	250	0.00	-152.31	95.43	0
502	-10	0.00	0	0	0
502	0	0.00	31.28	0	0
502	10	0.00	31.28	5.35	0
502	20	0.00	72.91	7.27	0
502	30	0.00	-230	15	0
502	50	0.00	-139	28	0
502	60	0.00	-178.19	21.74	0
502	70	0.00	-219	27	0
502	90	0.00	-174.24	20.98	0
502	100	0.00	-174.24	20.98	0
701	-10	0.00	0	0	0
701	0	0.00	12	0	0
701	20	0.00	12	22	0
701	30	0.00	12	22	0
701	40	0.00	84.07	9.66	0
701	50	0.00	84.07	9.66	0
701	60	0.00	-225.73	15	0
701	70	0.00	-197.75	21.21	0
701	80	0.00	-190.17	26.16	0
701	90	0.00	-203.98	23.57	0
701	100	0.00	-217.75	23.43	0
701	110	0.00	-190	28	0
701	120	0.00	-187.3	35.9	0
701	130	0.00	-185.66	39.41	0
701	140	0.00	-183	42	0
701	150	0.00	-195.63	35.97	0
701	160	0.00	-191.44	33.66	0
701	170	0.00	-194.89	38.2	0
701	180	0.00	-201.7	24.77	0
701	190	0.00	-200.06	20.4	0
701	200	0.00	-201.08	22.39	0
701	210	0.00	-206.81	30.11	0
701	220	0.00	-199	39	0
701	230	0.00	-191	36	0
701	240	0.00	-191	36	0
801	-10	0.00	0	0	0
801	0	0.00	-154.78	0	0
801	40	0.00	-154.78	27.11	0
801	50	0.00	-149.65	29.38	0
801	60	0.00	-141.25	34.49	0
801	90	0.00	-132	34	0
801	100	0.00	-116.92	37.91	0
801	110	0.00	-114.01	40.55	0
801	120	0.00	-121	41	0
801	130	0.00	-138	54	0
801	140	0.00	-105.49	52.18	0
801	150	0.00	-81.01	46.76	0
801	160	0.00	-98.46	47.8	0
801	170	0.00	-95.83	45.23	0
801	180	0.00	-92.11	39.64	0
801	190	0.00	-93.59	40.99	0
801	200	0.00	-95	44	0
801	230	0.00	-123	60	0
801	240	0.00	-119.45	53.68	0
801	250	0.00	-121.46	54.28	0
802	-10	0.00	0	0	0
802	0	0.00	-56.45	0	0
802	150	0.00	-56.45	41.51	0
802	160	0.00	-62.24	39.01	0
802	170	0.00	-64.03	33.98	0
802	180	0.00	-46	32	0
802	190	0.00	-44.52	39.21	0
